Variable:,tas
Country:,France
Subnational-unit:,Auvergne
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.24,-2.23,2.75,8.06,11.69,15.87,17.75,16.72,14.24,9.20,2.66,1.42
1902,1.91,1.34,5.38,9.02,8.33,13.80,17.46,16.25,13.60,8.69,3.81,1.13
1903,1.26,3.62,5.70,5.04,11.33,13.35,16.31,16.31,14.20,10.69,4.96,0.63
1904,0.74,2.82,3.81,8.76,12.49,15.40,19.48,17.63,12.49,9.67,3.35,2.26
1905,-0.80,1.82,5.40,7.58,10.04,15.20,19.22,16.50,13.72,6.38,3.86,1.39
1906,1.96,1.09,3.65,6.82,11.29,14.86,17.24,17.80,14.04,11.30,5.55,-0.11
1907,0.10,-0.18,4.05,6.40,11.39,14.13,15.44,16.97,14.80,10.39,5.75,3.53
1908,-0.68,2.66,3.15,5.78,12.83,15.95,16.75,15.67,13.20,10.05,3.83,1.34
1909,-0.34,-0.32,2.51,8.82,11.28,12.96,15.07,16.59,12.90,10.81,3.05,3.06
1910,2.10,3.28,4.66,6.62,10.08,14.81,15.22,16.00,12.59,10.36,4.06,3.84
1911,-0.99,2.25,4.52,6.62,11.87,14.59,19.69,19.82,16.13,9.95,5.76,4.25
1912,2.57,4.83,6.72,7.11,12.31,14.38,16.51,13.98,10.89,8.43,3.00,2.77
1913,3.08,2.20,5.98,7.10,11.31,14.72,15.01,16.08,13.65,10.61,7.38,1.79
1914,-1.87,4.02,5.46,9.49,10.28,13.70,15.90,16.73,13.69,8.93,4.18,3.67
1915,1.44,1.98,3.65,6.56,13.05,16.22,16.13,15.97,12.80,7.78,2.55,5.16
1916,4.10,2.91,4.13,7.71,12.24,12.67,16.15,16.83,12.58,9.66,5.06,2.45
1917,-0.68,-0.80,2.29,4.91,13.67,16.51,16.96,15.81,15.32,7.98,4.92,-1.37
1918,1.31,2.88,4.43,6.60,12.70,13.36,16.96,16.84,14.29,8.03,4.49,4.36
1919,1.61,1.62,4.40,5.70,12.07,15.40,14.60,18.18,15.31,6.75,2.71,3.14
1920,3.49,4.19,6.35,7.95,13.65,14.69,16.53,15.29,13.90,9.64,3.41,1.78
1921,4.46,2.14,5.31,6.89,12.34,15.70,19.62,16.91,15.60,12.63,2.55,2.03
1922,1.23,2.31,5.06,6.15,13.68,15.37,15.60,16.24,12.04,7.73,3.29,2.09
1923,1.33,4.39,5.56,7.63,11.02,12.19,19.21,17.97,13.93,11.45,4.11,1.80
1924,1.27,0.25,4.56,7.75,12.91,14.81,17.21,14.26,14.11,10.13,5.24,2.08
1925,2.80,3.78,2.04,7.39,11.37,15.90,16.69,16.45,12.14,10.28,3.24,1.76
1926,1.68,6.23,5.41,8.63,9.90,13.10,16.92,17.30,16.22,10.65,6.84,0.27
1927,2.17,2.27,5.73,8.33,12.42,14.72,16.96,16.33,13.97,9.71,5.07,1.21
1928,2.96,4.26,5.27,7.64,9.87,14.97,19.89,18.30,14.48,9.90,6.27,1.54
1929,-1.99,-2.09,4.52,5.97,11.84,15.46,18.13,16.84,17.10,10.33,5.39,4.34
1930,3.64,1.55,5.35,7.97,10.44,16.66,16.03,16.69,14.73,10.37,7.04,2.27
1931,1.66,1.08,3.60,6.91,12.65,16.69,16.46,15.63,11.10,9.00,6.22,0.45
1932,2.23,-1.40,3.36,6.18,10.48,14.18,15.77,19.17,16.35,9.78,5.65,2.91
1933,-0.40,2.14,5.79,8.30,11.32,13.32,18.16,18.80,15.44,10.51,3.57,-2.56
1934,1.05,0.90,4.40,8.90,12.79,15.67,18.70,16.05,15.66,10.18,3.54,5.36
1935,0.03,3.31,4.21,7.22,9.88,16.31,18.53,16.54,14.88,9.44,5.54,1.53
1936,4.91,2.77,6.10,6.65,11.91,14.75,16.14,16.82,14.67,7.07,4.93,2.25
1937,3.24,5.12,3.76,7.98,12.88,15.61,17.79,17.79,14.18,10.14,4.40,0.93
1938,2.10,1.81,7.01,5.75,10.04,15.85,16.57,16.81,14.36,9.80,7.45,0.22
1939,3.37,2.67,3.07,8.52,9.40,15.08,16.06,16.70,13.67,9.10,7.06,0.62
1940,-3.25,2.52,5.12,7.91,11.89,15.14,15.87,16.02,14.42,9.22,5.87,-1.82
1941,-1.31,2.58,5.50,6.30,8.65,15.31,18.15,15.62,13.77,9.19,4.54,1.22
1942,-2.70,-2.07,6.00,8.79,11.83,15.59,17.09,17.51,15.89,12.05,3.63,2.35
1943,2.79,3.54,6.34,9.81,12.92,15.12,18.15,18.55,14.93,11.39,4.07,1.73
1944,2.62,0.18,3.11,9.58,11.99,14.64,17.37,19.92,13.86,8.83,5.11,1.13
1945,-3.25,4.69,6.59,10.33,13.76,16.93,19.38,17.03,15.43,10.68,4.20,2.61
1946,-0.37,4.74,5.14,9.74,11.81,14.50,18.09,16.79,15.10,9.49,4.93,-0.26
1947,-1.26,-0.06,5.58,9.87,13.51,17.03,19.49,19.97,16.59,10.56,6.73,1.74
1948,4.09,2.72,7.79,8.65,12.60,14.60,15.64,16.80,13.99,10.13,5.01,2.29
1949,2.08,2.35,3.61,10.42,10.52,15.39,19.33,18.62,17.88,12.10,4.49,3.19
1950,0.74,4.59,5.80,6.60,12.87,17.51,19.64,17.72,13.91,9.86,5.72,-0.49
1951,2.69,2.95,4.21,7.66,10.16,14.75,17.41,16.28,15.23,9.06,6.99,2.31
1952,0.28,0.35,6.81,9.45,13.14,17.31,19.86,18.06,12.24,9.98,4.14,1.85
1953,-1.76,0.42,5.74,8.56,13.71,13.92,17.08,17.95,15.25,10.87,4.32,5.10
1954,-0.34,-0.01,5.76,6.83,10.92,15.21,15.76,15.74,14.60,10.57,6.58,4.07
1955,3.47,2.27,3.12,8.86,11.52,15.27,17.98,17.84,14.42,8.82,4.48,4.52
1956,2.72,-1.60,4.99,6.50,12.66,13.21,16.54,15.37,15.38,8.86,3.03,2.90
1957,0.04,5.18,7.79,7.83,9.92,15.09,17.28,16.28,13.97,9.94,4.69,1.45
1958,1.80,4.27,3.28,6.14,12.80,14.32,16.83,17.40,16.37,9.58,4.56,3.42
1959,1.61,2.57,7.00,8.34,12.45,15.85,19.53,17.61,15.92,10.43,4.71,3.97
1960,1.27,3.34,6.46,7.88,13.46,16.56,15.74,16.01,12.93,9.59,6.54,1.05
1961,1.49,5.72,6.33,10.23,11.22,15.74,16.73,16.58,17.60,10.96,4.59,3.09
1962,3.23,1.52,2.33,7.50,10.35,14.70,16.82,18.06,14.40,10.51,3.21,-1.02
1963,-3.14,-2.12,4.70,8.16,10.94,14.47,17.72,15.04,13.76,9.73,7.67,-0.87
1964,-1.16,3.54,4.02,8.10,13.25,15.85,19.02,17.08,15.52,8.04,5.00,0.87
1965,1.72,-0.61,4.91,7.04,11.39,15.14,15.68,15.87,12.23,11.01,5.11,3.86
1966,0.79,6.20,4.11,9.00,11.85,15.75,15.55,15.89,15.39,11.64,3.05,3.21
1967,1.21,3.45,6.09,7.33,11.02,14.22,19.11,17.09,13.97,12.25,5.67,-0.04
1968,0.91,2.99,5.01,8.35,10.35,14.43,16.75,15.59,13.47,11.98,4.93,1.56
1969,2.64,0.35,4.94,7.71,11.76,13.13,17.95,16.82,14.32,11.11,5.21,-1.31
1970,2.37,2.89,2.44,5.91,11.39,16.41,16.96,17.22,15.34,9.27,6.78,0.16
1971,0.59,1.97,1.51,9.41,12.34,13.68,18.64,17.84,14.33,10.61,3.25,2.17
1972,1.67,4.16,6.21,7.05,10.49,13.02,17.00,15.76,11.74,9.35,5.85,2.02
1973,0.50,1.01,3.99,5.85,12.53,15.80,17.16,19.07,15.52,8.73,4.89,1.39
1974,4.33,3.48,5.84,7.56,11.02,14.57,16.87,17.60,13.11,5.95,5.74,4.59
1975,4.21,3.66,3.37,7.35,10.64,14.30,17.91,18.43,14.67,8.62,4.97,0.39
1976,1.71,3.04,4.41,7.29,12.74,18.60,18.97,17.54,13.12,10.07,4.36,1.66
1977,2.11,5.17,6.63,6.78,10.51,13.53,16.28,15.41,13.26,11.66,5.02,3.18
1978,1.16,2.52,5.51,5.99,10.57,13.74,16.22,16.00,14.39,9.67,4.09,3.77
1979,-0.01,2.86,5.35,6.41,11.13,15.38,17.85,15.87,14.41,11.18,4.52,3.38
1980,0.56,4.68,4.38,6.53,10.26,13.41,15.16,17.76,15.39,9.21,3.69,0.11
1981,0.93,0.48,7.39,8.77,10.90,14.81,16.15,17.76,14.98,10.18,4.77,2.83
1982,3.91,3.53,4.48,7.83,12.08,16.37,19.50,16.69,16.35,9.88,6.74,3.07
1983,2.95,0.54,5.20,7.30,9.98,16.02,21.22,18.13,15.20,10.36,5.90,2.27
1984,2.23,1.48,3.48,7.89,8.71,14.56,17.99,16.95,13.09,10.30,7.71,2.30
1985,-3.49,2.69,3.20,8.36,10.67,14.02,18.59,16.53,16.49,11.20,2.23,3.10
1986,1.95,-1.91,4.33,5.03,12.70,15.71,18.12,16.88,14.53,11.99,5.90,2.68
1987,-3.18,1.91,3.01,8.89,9.67,13.52,17.49,17.52,16.67,11.38,5.16,2.98
1988,4.67,2.80,4.50,8.58,12.26,14.77,16.74,17.59,14.33,11.63,4.42,3.34
1989,1.90,3.39,7.58,6.54,14.61,15.82,19.32,18.55,14.96,11.45,5.25,4.02
1990,2.07,7.10,6.76,7.01,14.31,14.83,18.81,19.46,14.79,12.19,5.45,0.38
1991,1.84,0.47,7.58,6.98,10.26,14.07,18.96,20.19,16.94,9.21,5.09,1.45
1992,0.32,2.73,5.90,8.08,13.92,14.23,18.11,19.26,14.26,8.26,7.17,3.48
1993,3.52,1.40,5.17,8.55,12.70,16.11,16.66,18.04,13.32,9.10,3.08,4.29
1994,3.00,3.63,8.18,6.71,12.64,16.06,20.60,19.35,13.66,10.90,8.51,4.41
1995,2.34,5.61,4.66,8.24,12.21,14.94,20.26,18.80,12.81,13.54,5.66,2.60
1996,4.16,1.23,4.70,8.65,11.37,16.69,17.71,17.02,12.71,10.37,5.08,2.24
1997,0.92,5.23,7.89,8.82,13.18,15.00,17.48,20.32,16.27,11.45,6.77,3.57
1998,3.19,4.12,6.46,7.32,13.70,16.16,18.28,18.96,14.72,10.34,3.01,2.24
1999,3.29,2.12,6.63,8.49,14.37,15.40,19.23,18.71,16.94,11.25,3.99,2.86
2000,1.58,4.86,6.12,8.53,14.07,16.97,16.57,19.01,15.84,10.95,6.58,5.57
2001,3.86,3.65,7.72,7.11,13.65,15.85,18.22,19.00,12.87,13.61,3.91,0.21
2002,2.57,5.36,7.16,9.09,11.58,17.11,17.43,17.18,14.17,11.13,7.28,4.92
2003,0.84,1.30,7.53,9.58,13.41,18.38,20.18,20.10,15.53,9.17,6.83,3.11
2004,2.63,2.78,4.76,8.26,11.92,17.10,18.03,18.51,16.05,12.43,4.99,2.19
2005,1.87,0.29,5.37,8.70,13.21,18.39,19.05,17.64,15.62,12.86,4.49,0.22
2006,0.86,1.15,5.13,8.98,12.99,17.74,22.04,16.27,17.27,13.70,7.96,2.72
2007,4.40,5.46,5.92,11.17,13.33,16.31,17.13,17.02,14.04,10.29,4.36,2.01
2008,4.17,4.77,5.10,7.90,13.46,16.16,18.09,17.84,13.70,10.24,5.49,1.68
