Variable:,tasmax
Country:,France
Subnational-unit:,Auvergne
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.03,2.15,7.25,13.65,18.00,22.33,24.56,23.20,19.78,13.89,6.64,4.86
1902,5.80,5.34,10.76,14.39,13.79,19.96,24.49,22.76,19.52,13.29,7.83,4.59
1903,5.19,8.45,11.29,10.42,17.34,19.35,22.77,22.60,20.34,15.47,8.77,3.79
1904,4.32,6.72,8.83,14.15,18.57,21.78,26.76,24.24,18.36,14.83,7.66,5.76
1905,3.13,5.91,10.45,13.06,15.60,21.57,26.37,22.86,19.43,11.57,7.83,4.80
1906,5.96,5.04,9.16,12.44,17.25,21.23,23.92,24.56,20.54,16.41,9.33,3.24
1907,3.63,3.68,9.76,11.86,17.31,20.00,21.88,23.67,21.38,14.66,9.47,7.01
1908,3.15,6.29,8.05,10.98,18.96,22.22,23.14,21.96,19.09,15.66,7.97,4.64
1909,3.40,4.07,7.17,15.07,17.52,18.85,21.24,22.89,18.83,15.92,6.83,6.46
1910,5.72,7.37,10.07,11.97,15.30,20.52,21.16,22.07,18.23,15.35,7.83,7.20
1911,2.47,6.97,9.53,12.35,17.57,20.53,26.68,26.55,22.56,14.57,9.86,7.73
1912,5.95,9.48,11.81,12.80,18.28,20.22,22.69,19.28,16.49,13.35,6.78,6.69
1913,6.61,7.04,11.26,12.03,16.99,20.47,20.95,22.20,19.42,15.51,10.72,5.15
1914,1.90,8.61,10.15,15.16,15.63,19.77,21.77,23.06,19.52,13.71,8.04,7.19
1915,4.72,6.01,8.54,12.04,18.56,22.35,22.67,22.16,19.03,12.32,6.30,8.54
1916,7.77,6.81,9.09,13.15,18.24,18.25,22.43,22.74,18.34,14.54,9.15,5.74
1917,2.23,3.62,7.05,10.23,19.20,22.78,23.28,21.93,21.33,13.00,8.24,2.09
1918,5.01,7.14,10.08,11.37,18.58,19.44,23.53,23.11,20.10,12.67,8.14,7.66
1919,4.80,5.75,8.89,10.87,18.16,21.74,20.87,24.82,21.36,11.58,6.30,6.47
1920,7.19,9.07,11.85,13.22,19.35,20.93,23.17,21.39,19.71,14.42,7.49,5.20
1921,8.35,6.78,11.27,12.69,18.19,21.96,26.66,23.30,22.09,18.13,6.72,5.61
1922,4.87,6.92,10.07,10.89,20.14,21.53,22.17,22.56,17.90,12.39,7.44,5.72
1923,4.58,8.53,10.51,13.19,16.91,18.01,25.98,24.77,20.07,16.10,8.01,5.01
1924,5.16,4.04,10.20,13.23,18.78,21.04,23.55,20.15,20.07,15.04,9.30,5.82
1925,6.99,8.36,6.74,12.51,17.01,22.54,22.79,22.70,18.14,15.87,7.06,5.89
1926,5.64,10.97,10.42,14.61,15.26,18.82,23.23,24.09,22.85,15.96,11.07,3.66
