Variable:,tasmin
Country:,France
Subnational-unit:,Auvergne
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.55,-6.61,-1.75,2.53,5.45,9.45,11.00,10.30,8.75,4.54,-1.32,-2.01
1902,-1.98,-2.66,0.03,3.70,2.93,7.72,10.49,9.77,7.73,4.12,-0.19,-2.34
1903,-2.67,-1.20,0.14,-0.32,5.36,7.39,9.89,10.06,8.11,5.96,1.20,-2.53
1904,-2.83,-1.08,-1.21,3.42,6.45,9.04,12.27,11.07,6.66,4.58,-0.96,-1.23
1905,-4.73,-2.28,0.40,2.13,4.52,8.88,12.15,10.20,8.07,1.23,-0.09,-2.02
1906,-2.03,-2.87,-1.85,1.26,5.37,8.56,10.60,11.09,7.59,6.23,1.80,-3.47
1907,-3.43,-4.03,-1.65,0.97,5.53,8.29,9.04,10.33,8.28,6.18,2.08,0.09
1908,-4.52,-0.96,-1.76,0.62,6.77,9.71,10.40,9.42,7.38,4.49,-0.28,-1.95
1909,-4.08,-4.72,-2.14,2.60,5.08,7.11,8.93,10.33,7.01,5.75,-0.72,-0.33
1910,-1.52,-0.78,-0.72,1.31,4.91,9.17,9.30,10.02,7.00,5.41,0.33,0.53
1911,-4.45,-2.47,-0.47,0.93,6.20,8.71,12.74,13.15,9.74,5.37,1.73,0.80
1912,-0.80,0.22,1.67,1.46,6.36,8.56,10.40,8.71,5.36,3.56,-0.77,-1.14
1913,-0.42,-2.65,0.72,2.22,5.69,9.01,9.13,10.01,7.93,5.76,4.10,-1.58
1914,-5.63,-0.53,0.83,3.85,4.99,7.70,10.10,10.44,7.89,4.22,0.36,0.18
1915,-1.84,-2.04,-1.24,1.13,7.61,10.16,9.63,9.83,6.62,3.29,-1.20,1.84
1916,0.45,-0.98,-0.83,2.30,6.28,7.13,9.92,10.96,6.85,4.83,1.02,-0.82
1917,-3.60,-5.23,-2.46,-0.40,8.19,10.31,10.67,9.74,9.37,3.01,1.64,-4.83
1918,-2.38,-1.37,-1.21,1.90,6.88,7.36,10.45,10.61,8.54,3.44,0.88,1.09
